run,case,phase,kernel,calls,total_us,share_pct,mean_us,median_us,p95_us,max_us,top_one_pct_of_group,time_rank,count_rank
1,b1_p2048_o32,decode_all,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)",3503,58341.915,70.431317540665,16.65484299172138,11.2,16.449,1193.265,2.0452962505601677,1,1
1,b1_p2048_o32,decode_all,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0,3503,3203.017,3.866734703774262,0.914363973736797,0.833,1.024,338.007,10.552769467036859,4,2
1,b1_p2048_o32,decode_all,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)",868,12553.384,15.154651243688237,14.462423963133642,13.249,13.793,421.212,3.3553661705879465,2,3
1,b1_p2048_o32,decode_all,"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)4, (int)4, (bool)1>(flash::Flash_fwd_params)",868,4090.275,4.937847126780867,4.712298387096774,3.872,3.904,337.559,8.252721394038298,3,4
1,b1_p2048_o32,decode_all,store_kvcache_kernel,868,627.567,0.757609184666676,0.7230034562211981,0.705,0.768,0.961,0.15313106010991653,6,5
1,b1_p2048_o32,decode_all,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_0,868,616.55,0.7443092814093779,0.710311059907834,0.704,0.832,1.152,0.18684616008434027,7,6
1,b1_p2048_o32,decode_all,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_1,868,611.658,0.7384035787013176,0.7046751152073732,0.704,0.736,0.896,0.14648708919036457,8,7
1,b1_p2048_o32,decode_all,triton_poi_fused_mul_silu_split_0,868,453.509,0.5474835096953785,0.522475806451613,0.512,0.544,0.896,0.19757050025468073,9,8
1,b1_p2048_o32,decode_all,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)",62,33.315,0.040218414905771514,0.5373387096774194,0.5285,0.608,0.672,2.0171094101755966,15,9
1,b1_p2048_o32,decode_all,triton_red_fused__softmax_argmax_clamp_min_div_exponential_5,31,2009.416,2.425799982179072,64.81987096774193,64.772,65.1565,65.285,3.24895392492147,5,10
1,b1_p2048_o32,decode_all,triton_red_fused__softmax_div_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_3,31,73.477,0.08870264061327852,2.3702258064516126,2.368,2.4165,2.528,3.4405324115029194,10,11
1,b1_p2048_o32,decode_all,triton_red_fused__to_copy_amax_ge_mul_neg_scalar_tensor_unsqueeze_where_0,31,49.412,0.05965097755737602,1.5939354838709678,1.568,1.712,1.888,3.8209341860276855,11,12
1,b1_p2048_o32,decode_all,triton_poi_fused__softmax__to_copy_div_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_2,31,45.445,0.05486195003430246,1.4659677419354837,1.472,1.5525,1.568,3.4503245681593135,12,13
1,b1_p2048_o32,decode_all,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)",31,40.257,0.04859891126704619,1.2986129032258065,1.281,1.344,1.408,3.4975283801574877,13,14
